user_id,inf,weibo_num,focus_num,fans_num,level,verified
人民日报,"['人民日报', '\xa0男/北京    \xa0    ', '【国家航天局：', '】12日上午，嫦娥五号', '仪式在京举行。13家科研机构一共获得约17.4764克月壤。这标志着月球样品的科学研究正式启动。此外，记者还获悉，国家航天局正计划组织部分月球样品入藏毛泽东同志的故乡湖南韶山进行异地灾备，以告慰毛泽东同志...', '【永不放弃！', '】逆境绝杀韩国，', '，铿锵玫瑰在绝境中绽放；', ' 曾做过三次膝盖手术，但仍站在赛场，与中国队一起进军东京；', ' 则表示，击剑到最后拼的就是勇气。奥运会、残奥会即将到来，为她们加油！', '...', '【', '】1949年5月27日，上海解放。枪声停息后的第一个清晨，马路两边湿漉漉的地上睡满了解放军战士。在随部队进驻上海的人群中，当时20岁出头的随军摄影师看到这个场景不禁感叹：这就是我们的解放军啊…', '↓↓', ' ', '【现场画面！', '】中国空间站卫生区长什么样？航天员如何“装修”卫生区？“装修”过程中发生了什么趣事？戳视频↓', ' ', '【', '】7月9日，南京市雨花台区接安徽省萧县疾控中心协查通知，协查对象肖某为安徽省通报的境外输入新冠肺炎无症状感染者的密切接触者。雨花台区疾控中心立即开展排查，当日下午14时将肖某送至集中隔离点接受医学观察。7月9日新冠病毒核酸检测，结果为阴性；7月11日...', '【值得收藏！', '【直播关注！', '】7月11日—12日，华北、黄淮地区迎来入汛最强降雨过程，中央气象台持续发布暴雨黄色预警。其中，北京地区12日早晨达到此次降雨过程最强，累积雨量将达暴雨到大暴雨量级。直击强降雨第一现场↓↓暴雨来临，注意安全！', ' ', '【每一次普通的改变，都可能改变普通】既然一直对现状不满，那就别总在胆怯中退缩。最怕的就是你一边抱怨，但又不去改变。要想让事情变好，那先努力让自己变得更好。要知道，自己不努力，没人能替你成长。勇敢地去行动吧，一个小小的改变，或许就会给你的人生带来很大的不同。9个建议↓↓共勉，早安。 ', '【点球击败英格兰！时隔53年', '】北京时间7月12日03:00，欧洲杯决赛在温布利大球场展开巅峰对决，意大利对阵英格兰。最终，意大利点杀英格兰，时隔53年再度夺得欧洲杯冠军。', ' ', '【', '】7月11日0时至24时，云南省新增新冠肺炎本土确诊病例9例（2例为7月9日无症状感染者转为确诊病例），新增境外输入新冠肺炎确诊病例3例。', '截至7月11日24时，云南省现有新冠肺炎确诊病例148例（本土59例，境外输入89例）、新冠肺炎无症状感染者20例（本土1例，境外输入19例），均...']",134117,3059,132836761,会员等级：7级 ,认证信息：《人民日报》法人微博
新京报,"['新京报', '\xa0男/北京    \xa0    ', '【', ' 校方：房顶贴膜老化雨水倒灌】7月11日，南京师范大学附属扬子中学针对该校报告厅屋顶漏水一事进行通报。10日，扬子中学在报告厅举行新一届高三学生家长会。其间，突遇特大暴雨，导致报告厅屋顶漏水。经查，报告厅建于2006年，房顶贴膜老化，强降雨致落叶等杂物堵塞报告厅...', '【', ' 确诊5天后死亡】7月11日，据法新社报道，比利时一名90岁妇人因跌倒送医治疗，被检测出携带2种新冠变异毒株，起初妇人血氧饱和度水平良好，随后病情急速恶化，5天后死亡。专家称，尚无证据表明病情恶化与同时感染两种变异毒株有关，同时感染2种毒株现象或被低估。...', '【', '【', ' 男子不顾危险冲入洪水中救下一人】7月11日，河南焦作，受丹河上游暴雨影响，形成了洪水沿丹河下泄，沁阳、博爱沿丹河两岸受到较大影响。焦作境内沿岸村庄进水，车辆被凶猛的洪水卷走。一男子发现洪水中还有人时，立即冲进去将其救出。(沸点视频)', ' ', '【暴雨级别！', ' 】北京地区11日18时后自南向北大部地区出现暴雨，并伴有大风和雷电，昌平局地有小冰雹。截至12日6时，北京市平均降雨量45.7毫米，城区平均53.2毫米，北京市共203个站降雨量超过50毫米，43个站降雨量超过70毫米。最大降雨出现在房山新村，为92.4毫米，最大小...', '【最强降雨来袭！直击北京早高峰防汛排涝现场】', '据北京市气象台消息，7月11日至12日夜间，北京将出现今年入汛以来的最强降雨。', ' 记者带您穿城感受雨中北京早高峰，分赴气象、应急等多部门把握降水实况，直击防汛排涝保障现场。', ' ', ' ', '【', '！时隔53年再次捧杯】在刚刚结束的2020欧洲杯决赛中，在温布利大球场，历经加时和点球大战，意大利4比3战胜英格兰，时隔53年再次捧走德劳内杯。', '这个冠军，意大利和英格兰都等了53年之久。1968年，两队均首次打进欧洲杯正赛，意大利人捧起了冠军奖杯，英格兰获得季军。过去53...', '【', '：人在河南 近期将认亲】7月11日，', ' 从电影《失孤》原型郭刚堂处证实，他已获知儿子郭振的下落。郭刚堂与儿子DNA比对成功，警方已着手安排父子认亲事宜。1997年，2岁多的郭振被人贩拐卖。二十多年来，郭刚堂为寻找儿子，骑行40万多公里，跑了31个省，报废10...', '【历时近8小时 ', '】7月11日，搁浅在浙江温岭东海塘的鲸被放归大海。据救援人员介绍，放生地点位于大陈岛以南，水深15米以上的海域。12时左右，两头鲸被发现搁浅在东海塘附近海域。消防、公安、渔业等部门接警后先后赶赴现场救援，经现场人员确认，其中一头鲸死亡。...', '【', '电闪雷鸣中的北京#】北京今年最强降雨来了，门头沟北面有连续的闪电、雷声，山上形成了厚厚的云雾。请务必注意安全，转发提醒！', ' ']",126340,2385,44849628,会员等级：7级 ,认证信息：新京报官方微博
急诊夜鹰,"['急诊夜鹰', '\xa0男/广东    \xa0    ', '北京地铁站45岁男销售猝死，家属对死因无异议，但医生有异议！！！', '今早7:59，人头汹涌的北京地铁13号线霍营站一名45岁男乘客在去往东直门站的扶梯处突然晕倒，后被乘客抬上站台。站方呼叫民警、呼叫专业医护乘客、呼叫急救车....', '然后来了5位警察维持秩序，2位热心群众先后轮流实施心肺复苏，8点30...', '【', ' 】据', ' 消息：7月1日上午10点左右，山东聊城一名正倾倒垃圾的环卫工突然晕倒在地，附近一中医诊所里的钟亚奎夫妻闻讯急忙跑来出手相救。夫妻俩根据症状判断应该是急性心梗，于是钟亚奎紧急地选择急救的穴位用针灸点刺，崔金金则用采血针在环卫工耳尖、指尖进行放...', '7月3日，江西赣州儿童溺水死亡，其实原本很有存活机会的，却把宝贵的时间去控水。', '昨日央视新闻通过电视频道直接面向数亿人科普：溺水者需要控水施救。', '今日再次通过微博平台推送，继续祸害。', '然后', '  被网友们纠错，删帖。', '传播错误急救危害深远，动辄就是一条命，是否应该追责呢？难道删...', '7月3日，江西赣州儿童溺水死亡，其实原本很有存活机会的，却把宝贵的时间去控水。', '昨日央视新闻通过电视频道直接面向数亿人科普：溺水者需要控水施救。', '今日再次通过微博平台推送，继续祸害。', '然后', '  被网友们纠错，删帖。', '传播错误急救危害深远，动辄就是一条命，是否应该追责呢？难道删...', '【', ' 目击者：是她前男友 警方已介入】据', ' 消息：7月9日凌晨，广西钦州一名女子遭男子强行拖拽塞进车内的视频引发关注。视频中，女子被男子拖拽时多次呼救。随后，一名路过的司机下车制止，市民纷纷上前劝阻，男子放开女子后驾车离开。目击者覃先生称，女子自称...', '7月3日，江西赣州儿童溺水死亡，其实原本很有存活机会的，却把宝贵的时间去控水。', '昨日央视新闻通过电视频道直接面向数亿人科普：溺水者需要控水施救。', '今日再次通过微博平台推送，继续祸害。', '然后', '  被网友们纠错，删帖。', '传播错误急救危害深远，动辄就是一条命，是否应该追责呢？难道删...', ' ', '这有问有答的，不要做心肺复苏。', '如果意识丧失也不要喂救心丸。 ', ' ', '有次采访，记者问张钧甯：“你能忍受多少天不洗头？”张钧甯哼了一声说“一天”，因为自己每天都要洗头，要不然受不了。', '随即她画风一转，说很担心生孩子怎么办，听说坐月子要一个月不能洗头，张钧甯很是抓狂。', '不过，还没有结婚的张钧甯，是不是太早担心生孩子的问题了呢？', '近日，张钧甯谈及婚姻，...', '救人一命，会怎样？', '救人一命，胜造七级浮屠啊！', ' 不，救人一命还送你7套房！', '礼让行人 ', '7月3日，江西赣州儿童溺水死亡，其实原本很有存活机会的，却把宝贵的时间去控水。', '昨日央视新闻通过电视频道直接面向数亿人科普：溺水者需要控水施救。', '今日再次通过微博平台推送，继续祸害。', '然后', '  被网友们纠错，删帖。', '传播错误急救危害深远，动辄就是一条命，是否应该追责呢？难道删...']",12017,1311,1873646,会员等级：7级 ,简介:让更多人懂一点简单急救。工作邮箱:46311852@qq.com
新加坡眼,"['新加坡眼', '\xa0男/海外    \xa0    ', '自今年一月至五月，新加坡总共出现了374起与银行有关的骗局，骗取金额高达107万新币！', '截至7月9日，新加坡逾389万人已接种至少一剂疫苗，占人口之68.3%，比前一天高0.9个百分点。', '已经完成两剂疫苗接种的逾226万人，占人口之39.8%，比前一天高0.5个百分点。', ' ', '专家普遍认为，首剂接种率70%、两剂接种率40%，仍无法阻止病毒传播。', '由于仍有60%人口未完成接种，强传播力的德尔塔Delta病毒株仍有可能在社区形成大型感染群。', '新加坡明天开放五人堂食，也允许工作单位员工社交聚会，以五人为限。《新加坡眼》判断，社区新增病例从现在到本月底不会清零，应该会持续有...', '大使馆在2021年5月份推出了领事APP，可以通过领事APP进行护照换发。戳下文了解流程。 ', ' ', '印尼抗疫有了新办法，“装神弄鬼“驱新冠', '印度尼西亚# ', ' ', '《日经亚洲评论》七月初对120多个国家和地区对冠病疫情复原的观察所做的指数排名。中国大陆第一，新加坡第五，美国第22，日本第48。“疫情复原指数”，这套指数的评分主要分三个部分：', '一、冠病感染控制（每起病例检测量、人均病例数、疫情走势）', '二、疫苗接种情况（人均接种量、接种至少一剂的人口比...', '印度尼西亚疫情失控，连续5日超3万，新加坡收紧边境措施 ', ' ', '7月11日，新加坡卫生部通报初步统计：今天新增确诊8例，累计6万2692起。新增病例当中，境外输入7起，本土病例1起，为社区病例，暂无关联；客工宿舍病例无新增。卫生部将在今晚公布详情。 ', '感觉我家附近的树被针对了，哈哈哈', '今年国庆庆典将在滨海湾浮动舞台举行！庆典会上演久违的烟花表演。你怀念滨海湾的绚丽烟花吗？2019年1月1日，疫情席卷新加坡前的最后一场滨海湾烟花送给大家。', ' ', ' ']",43215,2134,702650,会员等级：6级 ,认证信息：新加坡眼网站官方微博
人民日报,"['人民日报', '\xa0男/北京    \xa0    ', '【国家航天局：', '】12日上午，嫦娥五号', '仪式在京举行。13家科研机构一共获得约17.4764克月壤。这标志着月球样品的科学研究正式启动。此外，记者还获悉，国家航天局正计划组织部分月球样品入藏毛泽东同志的故乡湖南韶山进行异地灾备，以告慰毛泽东同志...', '【永不放弃！', '】逆境绝杀韩国，', '，铿锵玫瑰在绝境中绽放；', ' 曾做过三次膝盖手术，但仍站在赛场，与中国队一起进军东京；', ' 则表示，击剑到最后拼的就是勇气。奥运会、残奥会即将到来，为她们加油！', '...', '【', '】1949年5月27日，上海解放。枪声停息后的第一个清晨，马路两边湿漉漉的地上睡满了解放军战士。在随部队进驻上海的人群中，当时20岁出头的随军摄影师看到这个场景不禁感叹：这就是我们的解放军啊…', '↓↓', ' ', '【现场画面！', '】中国空间站卫生区长什么样？航天员如何“装修”卫生区？“装修”过程中发生了什么趣事？戳视频↓', ' ', '【', '】7月9日，南京市雨花台区接安徽省萧县疾控中心协查通知，协查对象肖某为安徽省通报的境外输入新冠肺炎无症状感染者的密切接触者。雨花台区疾控中心立即开展排查，当日下午14时将肖某送至集中隔离点接受医学观察。7月9日新冠病毒核酸检测，结果为阴性；7月11日...', '【值得收藏！', '【直播关注！', '】7月11日—12日，华北、黄淮地区迎来入汛最强降雨过程，中央气象台持续发布暴雨黄色预警。其中，北京地区12日早晨达到此次降雨过程最强，累积雨量将达暴雨到大暴雨量级。直击强降雨第一现场↓↓暴雨来临，注意安全！', ' ', '【每一次普通的改变，都可能改变普通】既然一直对现状不满，那就别总在胆怯中退缩。最怕的就是你一边抱怨，但又不去改变。要想让事情变好，那先努力让自己变得更好。要知道，自己不努力，没人能替你成长。勇敢地去行动吧，一个小小的改变，或许就会给你的人生带来很大的不同。9个建议↓↓共勉，早安。 ', '【点球击败英格兰！时隔53年', '】北京时间7月12日03:00，欧洲杯决赛在温布利大球场展开巅峰对决，意大利对阵英格兰。最终，意大利点杀英格兰，时隔53年再度夺得欧洲杯冠军。', ' ', '【', '】7月11日0时至24时，云南省新增新冠肺炎本土确诊病例9例（2例为7月9日无症状感染者转为确诊病例），新增境外输入新冠肺炎确诊病例3例。', '截至7月11日24时，云南省现有新冠肺炎确诊病例148例（本土59例，境外输入89例）、新冠肺炎无症状感染者20例（本土1例，境外输入19例），均...']",134117,3059,132836762,会员等级：7级 ,认证信息：《人民日报》法人微博
鹊桔,"['鹊桔', '\xa0男/广东    \xa0    ', '挺烦的', '【此刻，一起转发！', '2021，不忘初心，勇往直前。我是', '，下个百年梦想我们一起来实现。', ' ', '“好久没有感受过爱了 我是说那种 长期的 稳定的 安心的.”  ', ' ', '【', '，还成了许多居民的私人医生】近日，在广州番禺洛浦街的管控区内，一名医生举着一个大箱子的照片，瞬间在朋友圈“火”了起来，这名人称“托举姐”的医护人员，在疫情期间还成了许多居民的“私人医生”。', ' （视频来源：今日一线 记者：李斯琦 叶剑 ）...', '【“梁非凡”扮演者', '：大家健康我就开心】端午假期，在广州市天河区石牌街社区，医护人员和志愿者们仍在为居民们开展新冠疫苗接种工作。在时而龙舟水泛滥，转眼又烈日暴晒的现场，眼尖的人发现了志愿队伍中的“神秘人物”，香港知名演员', ' 竟穿上了隔离衣、头戴面罩...', '“还有好多好多的心里话，想要跟您老说...”', '世界上最幸福的事莫过于：你喜欢的人刚好也喜欢你，你想的人也在想你，你爱的人 也很爱你，你等的人也在等你！ ', ' ', '加油 金榜题名 去你们心怡的大学 实现自己的梦想 超常发挥 七月月查询理想成绩 九月远赴下一场山海 前程似锦 等你们', '【独特礼物！', '】西安一高校化学老师带领7名学生制作了105支专属口红送给毕业生。梁老师介绍，口红色号有正红色、豆沙色、番茄红色、枫叶红色、车厘子色、胡萝卜色、蜜桃乌龙色等。制作过程学生“很有成就感”，他本人平时也给自己两个女儿做口红。', ' ']",3618,435,121575,会员等级：6级 ,认证信息：娱乐博主 视频自媒体 视频博主
头条新闻,"['头条新闻', '\xa0女/北京    \xa0    ', '【', '】据', ' 消息：受雷雨天气影响，北京首都机场、大兴机场共计调减航班441班。首都机场今日计划起降航班797架次，提前会商调减285班。大兴机场今日计划执行航班598架次，全天调减航班156班。请出行旅客及时留意航班信息，合理安排出行。', ' ', '【都知道熬夜伤身，', '？】要说一天当中什么时候是最舒服的，那还真是晚上临睡觉前的这段时间。刷刷剧、玩会游戏……可一不留神儿就到了晚上11点，面对这“诱人”的剧情和游戏，很多人果断选择继续熬！2007年，世卫组织把熬夜的致癌性列为2A级，还有研究表明，熬夜可能导致焦虑抑郁、...', ' 【这场雨有多大？全市做好打持久战准备！】截至7月12日6时，全市平均降雨量45.7毫米，城区平均53.2毫米，最大降雨出现在房山新村92.4毫米，目前降雨还在持续，全市已做好打持久战的准备。截至目前，市排水集团启动一级响应，累计备勤出动防汛人员2906人，对城区主要桥区、道路设施...', '【忘记包厢还有一桌客人，粗心老板直接锁门回家，到家接到电话懵了】据', ' 消息：7月11日，安徽合肥。一饭店老板下班回家，到家后接到电话，才发现饭店楼上包厢里还有一桌客人没有走，被锁在里面了。原来，当时客人提前买了单，系统上显示没有单了，老板便以为没有...', '【男子医院照顾老婆间隙偷偷走廊撸串，喝到开心时回头看见老婆后瑟瑟发抖】据', ' 消息：7月11日，吉林长春，老婆住院不能进食，老公看护间隙偷偷在走廊“撸串子”，喝到开心处回头看见老婆，当场傻了！网友:代入感太强，已经开始害怕了！', ' ', '【', ' 物业：当时地面有人警示 防止坠物伤人】据', ' 消息：7月8日，广东佛山，居民高层楼内一名女子拿着扫帚将大量碎玻璃扫落楼下，飘飘洒洒地往外洒，看上去极度危险。中南远洋物业经理钟先生称，当天业主发现双层玻璃，外面那层爆了，不方便向里面扫，就通知物业去弄...', '【', '，让留守孩子有读书的地方】据', '  消息：湖南湘西，先天性肢残的向民志，为了让留守孩子有个读书的地方，借款修建了50平米的农家书屋，2017年已正式开放。如今，他还将自己的老宅也改造成书屋，扩建到150多平米，还设了儿童之家，目前书籍已达6000册。向民志...', '【莫疏忽！', '】据', ' 消息：两年前家长发现小帆胸背部隆起不对称，但并未在意。不料脊柱侧弯竟从40度发展为79度，急需手术。专家表示，脊柱侧弯多发于青少年时期，女性多于男性。脊柱侧弯无法预防，但', '。双肩不等高、背部不对称等...', '【', '，员工要求经济补偿，官司竟打到高院，法院：赔5.4万】叮，打工人的工资到账了！不过，工资什么时候发却大有讲究，深圳一家公司就因为每月20日发上个月的工资吃了“大亏”。员工以公司未按照规定及时足额支付劳动报酬为由解除劳动关系，并要求公司支付经济补偿金。双方因...', '【', '】据新京报消息：7月11日上午，北京连续发布暴雨黄色预警、大风黄色预警。16时30分许，海淀公安分局凤凰岭派出所接到群众求助，称其在凤凰岭山中受伤并且迷路，希望警方进行救援。经过民警、消防员、北斗救援队多方搜救，5个多小时后，被困者被冒雨营救下山。', '民...']",211584,1649,103515300,会员等级：6级 ,认证信息：24小时播报热点资讯
人民日报,"['人民日报', '\xa0男/北京    \xa0    ', '【国家航天局：', '】12日上午，嫦娥五号', '仪式在京举行。13家科研机构一共获得约17.4764克月壤。这标志着月球样品的科学研究正式启动。此外，记者还获悉，国家航天局正计划组织部分月球样品入藏毛泽东同志的故乡湖南韶山进行异地灾备，以告慰毛泽东同志...', '【永不放弃！', '】逆境绝杀韩国，', '，铿锵玫瑰在绝境中绽放；', ' 曾做过三次膝盖手术，但仍站在赛场，与中国队一起进军东京；', ' 则表示，击剑到最后拼的就是勇气。奥运会、残奥会即将到来，为她们加油！', '...', '【', '】1949年5月27日，上海解放。枪声停息后的第一个清晨，马路两边湿漉漉的地上睡满了解放军战士。在随部队进驻上海的人群中，当时20岁出头的随军摄影师看到这个场景不禁感叹：这就是我们的解放军啊…', '↓↓', ' ', '【现场画面！', '】中国空间站卫生区长什么样？航天员如何“装修”卫生区？“装修”过程中发生了什么趣事？戳视频↓', ' ', '【', '】7月9日，南京市雨花台区接安徽省萧县疾控中心协查通知，协查对象肖某为安徽省通报的境外输入新冠肺炎无症状感染者的密切接触者。雨花台区疾控中心立即开展排查，当日下午14时将肖某送至集中隔离点接受医学观察。7月9日新冠病毒核酸检测，结果为阴性；7月11日...', '【值得收藏！', '【直播关注！', '】7月11日—12日，华北、黄淮地区迎来入汛最强降雨过程，中央气象台持续发布暴雨黄色预警。其中，北京地区12日早晨达到此次降雨过程最强，累积雨量将达暴雨到大暴雨量级。直击强降雨第一现场↓↓暴雨来临，注意安全！', ' ', '【每一次普通的改变，都可能改变普通】既然一直对现状不满，那就别总在胆怯中退缩。最怕的就是你一边抱怨，但又不去改变。要想让事情变好，那先努力让自己变得更好。要知道，自己不努力，没人能替你成长。勇敢地去行动吧，一个小小的改变，或许就会给你的人生带来很大的不同。9个建议↓↓共勉，早安。 ', '【点球击败英格兰！时隔53年', '】北京时间7月12日03:00，欧洲杯决赛在温布利大球场展开巅峰对决，意大利对阵英格兰。最终，意大利点杀英格兰，时隔53年再度夺得欧洲杯冠军。', ' ', '【', '】7月11日0时至24时，云南省新增新冠肺炎本土确诊病例9例（2例为7月9日无症状感染者转为确诊病例），新增境外输入新冠肺炎确诊病例3例。', '截至7月11日24时，云南省现有新冠肺炎确诊病例148例（本土59例，境外输入89例）、新冠肺炎无症状感染者20例（本土1例，境外输入19例），均...']",134117,3059,132836761,会员等级：7级 ,认证信息：《人民日报》法人微博
中国新闻网,"['中国新闻网', '\xa0男/北京    \xa0    ', '【', ' ', '】据中国气象局消息，7月11日5时至12日06时，北京、天津、河北、山西、河南、山东等地出现暴雨。北京全市各区均出现超过50毫米的暴雨，河北有1366个站点降水量超过50毫米（暴雨）。中央气象台首席预报员张芳华表示，华北雨季的平均时...', '【', '】当地时间11日，英国警方表示，欧洲杯球迷在伦敦温布利球场附近与官员发生冲突，警方逮捕了45人。报道称，有视频显示在比赛开始前，无票球迷们冲破障碍物，跑上楼梯进入体育场，工作人员和警察试图阻止他们。在比赛期间也有冲突发生，数千名球迷聚集在球场外。...', '【', '】', '据北京大学微信公众号消息，此前报道中放弃港大奖学金、选择北大马克思主义理论专业的王艺瑾今年第一个收到北大录取通知书。她说，选择该专业是因为自己真心喜欢。据悉，北大该专业今年首次通过高招招收本科生，专业...', '【', '】12日，北京市积分落户服务中心发布《关于对蔡某某等7名积分落户材料弄虚作假人员处理情况的通告》，在2019至2020年度积分落户工作中，经查明7名申请人存在积分落户材料弄虚作假行为，其中蔡某某、陶某、王某某、刘某、陈某虚假申报并使用无效婚姻关系凭证，姚某某提供伪...', '【', '】据', ' 通报，上海市奉贤区应急管理局说：2021年7月12日4时50分，位于奉贤区青村镇西街2弄1号居民楼三楼液化气钢瓶泄漏发生爆炸后燃烧。事故发生后，消防救援力量第一时间赶到现场救援，火势于5时52分扑灭。事故造成2名居民死亡,4名居民不同程度...', '【', '：', '】', '7月12日，北京市人力资源和社会保障局发布消息，本市2021年积分落户申报审核工作已全部结束，即日起进入公示及落户办理阶段。今年申报积分落户的130111名申请人可登录积分落户在线申报系统查看本人最终...', '【', '】今日，国家航天局探月与航天工程中心在京举行嫦娥五号任务第一批月球科研样品发放仪式，标志着月球样品科学研究工作正式启动。经审核，来自13所科研机构的31份申请获得通过。（央视新闻客户端） ', '【', '】随着', '，本届大赛大幕落下。射手榜上，葡萄牙队队长C罗以5粒进球和1次助攻力压同样打入5球的捷克前锋希克，荣膺欧洲杯金靴。本届C罗共参加4场比赛，葡萄牙队在1/8决赛中被比利时淘汰。 ', '【还好遇见你', '【', '】', '北京时间12日凌晨，在', '男单决赛中，世界排名第一的德约科维奇以6:7(4)、6:4、6:4、6:3，大比分3:1逆转战胜贝雷蒂尼后获得冠军。', '，将个人大满贯男单冠军数量提升至20个，追平费德勒与纳达尔的纪录，并列男子网坛...']",168518,1261,71775620,会员等级：7级 ,认证信息：中国新闻网法人微博
人民日报,"['人民日报', '\xa0男/北京    \xa0    ', '【国家航天局：', '】12日上午，嫦娥五号', '仪式在京举行。13家科研机构一共获得约17.4764克月壤。这标志着月球样品的科学研究正式启动。此外，记者还获悉，国家航天局正计划组织部分月球样品入藏毛泽东同志的故乡湖南韶山进行异地灾备，以告慰毛泽东同志...', '【永不放弃！', '】逆境绝杀韩国，', '，铿锵玫瑰在绝境中绽放；', ' 曾做过三次膝盖手术，但仍站在赛场，与中国队一起进军东京；', ' 则表示，击剑到最后拼的就是勇气。奥运会、残奥会即将到来，为她们加油！', '...', '【', '】1949年5月27日，上海解放。枪声停息后的第一个清晨，马路两边湿漉漉的地上睡满了解放军战士。在随部队进驻上海的人群中，当时20岁出头的随军摄影师看到这个场景不禁感叹：这就是我们的解放军啊…', '↓↓', ' ', '【现场画面！', '】中国空间站卫生区长什么样？航天员如何“装修”卫生区？“装修”过程中发生了什么趣事？戳视频↓', ' ', '【', '】7月9日，南京市雨花台区接安徽省萧县疾控中心协查通知，协查对象肖某为安徽省通报的境外输入新冠肺炎无症状感染者的密切接触者。雨花台区疾控中心立即开展排查，当日下午14时将肖某送至集中隔离点接受医学观察。7月9日新冠病毒核酸检测，结果为阴性；7月11日...', '【值得收藏！', '【直播关注！', '】7月11日—12日，华北、黄淮地区迎来入汛最强降雨过程，中央气象台持续发布暴雨黄色预警。其中，北京地区12日早晨达到此次降雨过程最强，累积雨量将达暴雨到大暴雨量级。直击强降雨第一现场↓↓暴雨来临，注意安全！', ' ', '【每一次普通的改变，都可能改变普通】既然一直对现状不满，那就别总在胆怯中退缩。最怕的就是你一边抱怨，但又不去改变。要想让事情变好，那先努力让自己变得更好。要知道，自己不努力，没人能替你成长。勇敢地去行动吧，一个小小的改变，或许就会给你的人生带来很大的不同。9个建议↓↓共勉，早安。 ', '【点球击败英格兰！时隔53年', '】北京时间7月12日03:00，欧洲杯决赛在温布利大球场展开巅峰对决，意大利对阵英格兰。最终，意大利点杀英格兰，时隔53年再度夺得欧洲杯冠军。', ' ', '【', '】7月11日0时至24时，云南省新增新冠肺炎本土确诊病例9例（2例为7月9日无症状感染者转为确诊病例），新增境外输入新冠肺炎确诊病例3例。', '截至7月11日24时，云南省现有新冠肺炎确诊病例148例（本土59例，境外输入89例）、新冠肺炎无症状感染者20例（本土1例，境外输入19例），均...']",134117,3059,132836764,会员等级：7级 ,认证信息：《人民日报》法人微博
